1.51.364=молдинг=1723.00=1034.00=73,66=5595=649=468=9400=24,43=24,43=79,6=176263=1012
1.51.365=молдинг=1446.00=868.00=61,81=4698=543=393=8000=20,58=20,58=66,7=147720=850
1.51.366=молдинг=1378.00=827.00=58,89=4479=525=375=7600=20,15=20,15=63,7=140952=811
1.51.368=молдинг=2251.00=1351.00=96,24=7311=847=611=12300=32,16=32,16=104=230114=1323
1.51.368=молдинг FLEX=4502.00=2702.00=192,49=14621=1694=1222=24600=64,31=64,31=208,1=460227=2646
1.51.369=молдинг=1605.00=963.00=68,63=5216=604=436=8800=22,72=22,72=74,1=164199=945
1.51.371=молдинг=1632.00=980.00=69,76=5297=613=443=9000=23,16=23,16=75,3=166847=959
1.51.372=молдинг=984.00=591.00=42,05=3201=370=268=5400=14,14=14,14=45,4=100638=579
1.51.373=молдинг=1894.00=1137.00=80,96=6148=713=515=10400=27,01=27,01=87,5=193625=1113
1.51.373=молдинг FLEX=3786.00=2272.00=161,86=12296=1425=1030=20700=54,01=54,01=175=387249=2226
1.51.376=молдинг=1251.00=751.00=53,48=4065=471=341=6900=25,29=25,29=57,7=128004=737
1.51.376=молдинг FLEX=2501.00=1501.00=106,92=8129=941=682=13700=50,58=50,58=115,6=256007=1473
1.51.380=молдинг=2747.00=1649.00=117,46=8923=1033=746=15000=39,01=39,01=126,9=280726=1615
1.51.380=молдинг FLEX=5493.00=3296.00=234,87=17846=2067=1492=30000=78,03=78,03=253,9=561452=3230
1.51.382=молдинг=2055.00=1233.00=87,87=6678=772=559=11300=29,15=29,15=94,9=210103=1208
1.51.382=молдинг FLEX=4110.00=2466.00=175,74=13355=1546=1118=22500=58,31=58,31=189,8=420206=2416
1.51.387=молдинг=1925.00=1155.00=82,32=6252=725=524=10600=30,03=30,03=88,9=196861=1132
1.51.601=молдинг=2445.00=1467.00=104,52=7944=920=664=13400=38,18=38,18=113=249829=1436
1.51.602=молдинг=5014.00=3009.00=214,41=16279=1886=1362=27400=78,04=78,04=231,8=512604=2946
1.51.603=молдинг=7160.00=4296.00=306,18=23256=2696=1945=39100=111,49=111,49=331,1=731829=4205
1.51.604=молдинг=6803.00=4082.00=290,9=22093=2560=1847=37100=105,92=105,92=314,5=695341=3995
1.52.300=угловой элемент=927.00=557.00=39,61=3017=348=252=5100=13,29=13,29=42,8=94752=546
1.52.303=угловой элемент=927.00=557.00=39,61=3017=348=252=5100=13,29=13,29=42,8=94752=546
1.52.313=угловой элемент=1918.00=1151.00=81,99=6229=720=522=10500=27,01=27,01=88,5=195979=1128
1.52.318=угловой элемент=950.00=570.00=40,6=3086=357=258=5200=13,71=13,71=43,8=97106=558
1.52.326=угловой элемент=1048.00=629.00=44,78=3397=392=285=5800=15=15=48,2=107112=615
1.52.328=угловой элемент=927.00=557.00=39,61=3017=348=252=5100=13,29=13,29=42,8=94752=546
1.52.352=угловой элемент=997.00=599.00=42,62=3236=375=271=5500=14,14=14,14=46=102109=587
1.52.361=угловой элемент=1016.00=610.00=43,42=3305=381=277=5600=14,57=14,57=46,8=103875=597
1.52.376=угловой элемент=974.00=585.00=41,63=3167=365=265=5400=14,14=14,14=45=99755=572
1.54.005=элемент=556.00=334.00=23,76=1808=208=151=3100=8,14=8,14=25,6=56793=327
1.54.006=элемент=577.00=347.00=24,65=1877=217=158=3200=8,14=8,14=26,5=59147=340
1.54.007=элемент=456.00=274.00=19,47=1486=172=125=2500=6,43=6,43=21,1=46788=268
1.54.008=элемент=471.00=283.00=20,13=1532=177=129=2600=6,86=6,86=21,7=48260=278
1.54.009=боковой элемент=459.00=276.00=19,62=1497=173=126=2600=6,86=6,86=21,2=47082=270
1.54.011=элемент=1135.00=681.00=48,5=3684=427=309=6300=16,29=16,29=52,4=115940=667
1.54.012=элемент=1150.00=690.00=49,16=3742=432=313=6300=16,29=16,29=53=117705=677
1.54.015=наличник=2976.00=1786.00=127,24=9671=1119=808=16300=42,02=42,02=137,5=304267=1748
1.54.016=наличник=3025.00=1815.00=129,36=9832=1139=822=16500=42,88=42,88=139,8=309270=1778
1.54.018=элемент=1252.00=752.00=53,53=4065=472=341=6900=17,59=17,59=57,9=128004=737
1.54.019=боковой элемент=459.00=276.00=19,62=1497=173=126=2600=6,86=6,86=21,2=47082=270
1.54.020=база=1052.00=632.00=44,97=3420=396=286=5800=15=15=48,6=107700=619
1.56.008=розетка=2495.00=1497.00=106,69=8105=939=678=13700=35,57=35,57=115,3=255125=1467
1.56.012=розетка=2821.00=1693.00=120,61=9165=1061=767=15400=39,87=39,87=130,3=288377=1658
1.56.017=розетка=2731.00=1639.00=116,75=8865=1026=742=14900=38,59=38,59=126,1=279254=1605
1.56.019=розетка=2821.00=1693.00=120,61=9165=1061=767=15400=39,87=39,87=130,3=288377=1658
1.56.024=розетка=2731.00=1639.00=116,75=8865=1026=742=14900=38,59=38,59=126,1=279254=1605
1.56.028=розетка=5046.00=3028.00=215,77=16394=1900=1370=27600=71,17=71,17=233,2=515841=2964
1.56.033=розетка=2643.00=1586.00=112,99=8589=993=718=14500=37,29=37,29=122,1=270133=1553
1.56.038=розетка=1630.00=978.00=69,67=5297=612=442=8900=28,73=28,73=75,3=166553=959
1.56.042=розетка=899.00=540.00=38,43=2925=338=244=5000=12,85=12,85=41,5=92105=530
1.56.045=розетка=4796.00=2878.00=205,09=15577=1805=1303=26200=67,75=67,75=221,7=490241=2819
1.56.046=розетка=5627.00=3377.00=240,61=18271=2118=1527=30700=79,76=79,76=260=574988=3306
1.56.048=розетка=1591.00=955.00=68,02=5170=599=433=8700=22,72=22,72=73,5=162727=936
1.56.052=розетка=1439.00=864.00=61,53=4675=541=391=7900=20,58=20,58=66,4=147131=846
1.56.053=розетка=2537.00=1523.00=108,47=8244=955=690=13900=36,01=36,01=117,3=259245=1491
