IE_XML_ID;IE_NAME;IP_PROP157;IP_PROP160;IP_PROP253;IP_PROP257;IP_PROP258;CV_PRICE_1
6636;торцевой элемент 4.31.231;Нет;ВР001005027;12642;43,39;43,39;2434.00
6637;торцевой элемент 4.02.131;Нет;ВР001023605;20969;79,41;79,41;4481.00
6638;торцевой элемент 4.31.131;Нет;ВР001004960;23174;83,5;83,5;4705.00
6639;торцевой элемент 4.02.231;Нет;ВР001023619;16979;64,26;64,26;3628.00
6640;внутренний угол 4.31.322;Нет;ВР001005091;17259;62,22;62,22;3502.00
6642;внутренний угол 4.31.321;Нет;ВР001005087;20702;74,5;74,5;4204.00
6643;торцевой элемент 4.03.231;Нет;ВР001005013;1833;6,96;6,96;391.00
6644;внутренний угол 4.31.221;Нет;ВР001005026;16789;60,58;60,58;3408.00
6645;внутренний угол 4.31.121;Нет;ВР001004959;30641;110,11;110,11;6222.00
6646;торцевой элемент 4.03.232;Нет;ВР001023975;1833;6,96;6,96;391.00
6647;торцевой элемент 4.03.331;Нет;ВР001005075;1833;6,96;6,96;391.00
6648;внешний угол 4.31.312;Нет;ВР001005090;17259;62,22;62,22;3502.00
6649;торцевой элемент 4.04.131;Нет;ВР001004943;1833;6,96;6,96;391.00
6650;внешний угол 4.31.311;Нет;ВР001005086;20702;74,5;74,5;4204.00
6651;торцевой элемент 4.04.132;Нет;ВР001023977;1833;6,96;6,96;391.00
6652;внешний угол 4.31.212;Нет;ВР001005029;18467;66,31;66,31;3747.00
6653;торцевой элемент 4.04.231;Нет;ВР001005015;1833;6,96;6,96;391.00
6654;внешний угол 4.31.211;Нет;ВР001005025;16789;60,58;60,58;3408.00
6655;торцевой элемент 4.04.232;Нет;ВР001023978;1833;6,96;6,96;391.00
6656;внешний угол 4.31.111;Нет;ВР001004958;30641;110,11;110,11;6222.00
6657;торцевой элемент 4.04.332;Нет;ВР001023979;1833;6,96;6,96;391.00
6658;торцевой элемент 4.82.031;Нет;ВР001004992;2297;9,01;9,01;488.00
6659;арочное обрамление 4.87.031 гибкий;Да;ВР002028302;24825;94,14;94,14;5305.00
6660;арочное обрамление 4.87.032 гибкий;Да;ВР002028303;24825;94,14;94,14;5305.00
