IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4944;карниз FLEX;2000;1.50.144;82;80;2500;1500;;;;;;;;;;ВР000005898;;4;72,5;;Интерьерный декор;гибкие карнизы;;1363.00
4945;карниз FLEX;2000;1.50.145;263;91;1500;550;4500;;;;;;;;;ВР000005891;;5;82,8;;Интерьерный декор;гибкие карнизы;;3618.00
4946;карниз FLEX;2000;1.50.146;74;148;1500;1500;;;;;;;;;;ВР000005915;;5;82,8;;Интерьерный декор;гибкие карнизы;;2304.00
4947;карниз FLEX;2000;1.50.147;127;173;4500;4500;;;;;;;;;;ВР000005892;;5;82,8;;Интерьерный декор;гибкие карнизы;;2852.00
4948;карниз FLEX;2000;1.50.148;120;116;3500;3000;;;;;;;;;;ВР000006277;;4;72,5;;Интерьерный декор;гибкие карнизы;;2424.00
4949;карниз FLEX;2000;1.50.149;188;185;4500;4000;;;;;;;;;;ВР001022450;;;;;Интерьерный декор;гибкие карнизы;;3674.00
4950;карниз FLEX;2000;1.50.150;40;41;1500;1000;;;;;;;;;;ВР000005844;;4;72,5;;Интерьерный декор;гибкие карнизы;;932.00
4951;карниз FLEX;2000;1.50.151;172;144;3500;3500;;;;;;;;;;ВР001022119;;;;;Интерьерный декор;гибкие карнизы;;3674.00
4952;карниз FLEX;2000;1.50.152;172;155;3500;3500;;;;;;;;;;ВР001022120;;;;;Интерьерный декор;гибкие карнизы;;3674.00
4953;карниз FLEX;2000;1.50.153;170;160;3000;2500;;;;;;;;;;ВР001022121;;;;;Интерьерный декор;гибкие карнизы;;3674.00
4954;карниз FLEX;2000;1.50.154;23;23;1000;550;;;;;;;;;;ВР001022868;;;;;Интерьерный декор;гибкие карнизы;;851.00
4955;карниз FLEX;2000;1.50.155;17;26;550;550;;;;;;;;;;ВР001022867;;;;;Интерьерный декор;гибкие карнизы;;843.00
