IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4923;карниз FLEX;2000;;;;1.50.123;30;30;1000;550;;;;;;Да;;ВР000005872;;4;72,5;;;Интерьерный декор;гибкие карнизы;;997.00
4924;карниз FLEX;2000;;;;1.50.124;57;115;1500;1500;;;;;;Да;;ВР000005877;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2554.00
4925;карниз FLEX;2000;;;;1.50.125;87;90;2500;2000;;;;;;Да;;ВР000005878;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2096.00
4926;карниз FLEX;2000;;;;1.50.126;95;91;2000;1500;;;;;;Да;;ВР000005907;;;;;;Интерьерный декор;гибкие карнизы;;1469.00
4927;карниз FLEX;2000;;;;1.50.127;48;90;2000;1500;;;;;;Да;;ВР000005882;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1422.00
4928;карниз FLEX;1970;;;;1.50.128;67;146;1500;2000;;;;;;Да;;ВР000005880;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2493.00
4929;карниз FLEX;2000;;;;1.50.129;75;86;2500;1500;;;;;;Да;;ВР000005913;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1436.00
4930;карниз FLEX;2000;;;;1.50.130;30;32;1000;550;;;;;;Да;;ВР000005845;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1007.00
4931;карниз FLEX;2000;;;;1.50.131;135;60;3000;2500;;;;;;Да;;ВР000005854;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2452.00
4932;карниз FLEX;2000;;;;1.50.132;117;217;2500;3000;;;;;;Да;;ВР000005858;;5;82,8;;;Интерьерный декор;гибкие карнизы;;3659.00
4933;карниз FLEX;2000;;;;1.50.133;116;119;3500;2500;;;;;;Да;;ВР000005855;;5;82,8;;;Интерьерный декор;гибкие карнизы;;2493.00
4934;карниз FLEX;2000;;;;1.50.134;193;149;4500;4000;;;;;;Да;;ВР000005857;;5;82,8;;;Интерьерный декор;гибкие карнизы;;3539.00
4935;карниз FLEX;2000;;;;1.50.135;161;41;550;550;2500;;;;;Да;;ВР000005871;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2576.00
4936;карниз FLEX;2000;;;;1.50.136;62;166;550;550;;;;;;Да;;ВР000005879;;5;82,8;;;Интерьерный декор;гибкие карнизы;;2856.00
4937;карниз FLEX;2000;;;;1.50.137;183;190;4500;4000;;;;;;Да;;ВР000005876;;5;82,8;;;Интерьерный декор;гибкие карнизы;;3739.00
4938;карниз FLEX;2000;;;;1.50.138;156;161;4000;3500;;;;;;Да;;ВР000005881;;5;82,8;;;Интерьерный декор;гибкие карнизы;;3138.00
4939;карниз FLEX;2000;;;;1.50.139;99;99;2500;2000;;;;;;Да;;ВР000006252;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2427.00
4940;карниз FLEX;2000;;;;1.50.140;57;57;2000;1500;;;;;;Да;;ВР000005848;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1397.00
4941;карниз FLEX;2000;;;;1.50.141;70;71;2000;1500;;;;;;Да;;ВР000005911;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1397.00
4942;карниз FLEX;2000;;;;1.50.142;196;45;550;550;2500;;;;;Да;;ВР000005890;;4;72,5;;;Интерьерный декор;гибкие карнизы;;3138.00
4943;карниз FLEX;2000;;;;1.50.143;69;74;2000;1500;;;;;;Да;;ВР000006083;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1372.00
